epoch,train_loss,valid_loss,validation_score,valid_rank_ic,valid_bucket_spread,valid_top_k_hit_rate,valid_turnover,early_stop_value
1,0.3077325800786147,0.34463530282179516,0.08031014295836213,0.06037207499986759,0.12508896026130134,0.31296673455532925,0.15510204081632653,0.08031014295836213
2,0.2819558286720568,0.3454341335843007,0.09387367716120909,0.06791817448386017,0.15304595475027863,0.3082145281737949,0.11918367346938775,0.09387367716120909
3,0.26527683114683304,0.3585063045223554,0.06211631016359345,0.050678144213900635,0.08631187264697825,0.3109300746775288,0.12857142857142856,0.06211631016359345
4,0.24649187761384087,0.38126774815221626,-0.03404883562272172,-0.023547956065981947,-0.0670346230696362,0.27494908350305497,0.12775510204081633,-0.03404883562272172
5,0.23133964850021912,0.3655146670838197,0.05626121568708744,0.046395379387283504,0.08406829305057328,0.29056347589952475,0.12224489795918368,0.05626121568708744
6,0.21378296949304976,0.40109200527270633,-0.012608158905096077,-0.006455191516837297,-0.018100321085178967,0.2484725050916497,0.14081632653061224,-0.012608158905096077
7,0.19988877856516624,0.4087589414169391,-0.01114649403797588,-0.00034708891395535655,-0.030387879079315245,0.26816021724372036,0.15306122448979592,-0.01114649403797588
8,0.18879288757169568,0.4259046030541261,-0.036302208137606234,-0.0140882196755893,-0.08659893084205696,0.27834351663272233,0.16,-0.036302208137606234
9,0.1732620602255469,0.4236653074622154,0.03775604707442064,0.0419594440554496,0.047462547938514864,0.2695179904955872,0.13816326530612247,0.03775604707442064
10,0.1618716922831965,0.46162855500976246,-0.008702425382888887,0.001130048585637489,-0.030778440114225144,0.2769857433808554,0.12714285714285714,-0.008702425382888887
11,0.15376346954354295,0.4465642993648847,-0.04368336487298669,-0.027689861856774096,-0.07605980325427641,0.2505091649694501,0.1646938775510204,-0.04368336487298669
12,0.13905773942803476,0.4626815151423216,0.007083861468788187,0.006225448749110381,0.009657744633745803,0.27630685675492195,0.1677551020408163,0.007083861468788187
13,0.13466942008282687,0.4819144445161025,-0.00754434243189415,-0.009429434105284367,-0.009938645710179479,0.273591310251188,0.14448979591836733,-0.00754434243189415
14,0.12954496155987988,0.45005541667342186,0.006527174573373326,0.022578588897177655,-0.015878102293505825,0.2756279701289885,0.1524489795918367,0.006527174573373326
15,0.1255156279684187,0.46509155072271824,0.009377243155477949,0.013887719446046783,0.003832729302538912,0.27970128988458925,0.16816326530612247,0.009377243155477949
16,0.12251155997987266,0.48213628431161243,-0.03389321543115355,-0.01964440939532574,-0.06729897896683183,0.2668024439918534,0.15183673469387757,-0.03389321543115355
17,0.11885061242558935,0.4949135563025872,0.007203659071195996,0.016526050667661128,-0.0024126157615772027,0.26883910386965376,0.1520408163265306,0.007203659071195996
